Irio,De monte,DEOIRO40P25U335Y,Latisana,Via Guglielmo marconi 0
Alberigo,Rizzelli,RIEALI05N13Q684G,Porcia,Via Colvera 8
Remaldo,Scarinzi,SCIREE61X34F569P,Morsano al tagliamento,Via Onedi 20
Erio,Abbaticola,ABCERR90P37V690W,Montereale valcellina,Via Manzoni 7
Orteo,Alarcio,ALAORT14B10Z874P,Campoformido,Via G.verdi 10
Marno,Monticelli,MOIMAN90E27U590L,Martignacco,Via Xxv aprile 1945 23
Mariano,Panwar,PAAMAN48K16W228P,Corno di rosazzo,Via Forum julii 47
Liberto,Mauri,MAILIB47A04K254X,Gemona del friuli,Piazzetta Luciano fantoni 8
Novemio,Bardoscia,BASNOO02E11G341Y,Pasian di prato,Via Variano 24
Gigliante,Vitelli,VIIGII50C33T584D,Majano,Via Carnia 41
Raffaelo,Mastrogiacomo,MATRAA74Q19C577W,Pordenone,Via Bar delle foie 5
Redes,Federico,FEDRED24G28E638N,Spilimbergo,Via Del canale 2
Ricciardino,Stigliani,STGRIC24U06H428W,Cordenons,Via Udine 5
Oredano,Riotti,RITORD26D05A852R,Cordenons,Via Pal piccolo 16
Salvatorino,Gloria,GLISAA83J24I237K,Latisana,Via Tisanella 22
Sistilio,Uleri,ULLSIT95Z09Y266D,Fanna,Via 6 maggio 22
Alceo,Masangkay,MANALC64T14S117M,San daniele del friuli,Via Valeriana 71
Furno,Cervino,CEIFUR37V29W005T,Tarcento,Via Sammardenchia 75
Ripalta,Cipollone,CIORIL41M24Z057C,Aquileia,Via San cromazio 4
Alonzo,Kallajxhija,KAAALZ25H22Y896X,Latisana,Via Fratelli cervi 2
Lieto,Caporotundo,CAALIT52K04Y287S,Azzano decimo,Via Cesena palu` 12
Finuccio,Longobardi,LOOFIU91R05I568D,Pordenone,Via A. volta 8
Ligio,Aurelio,AUILIO13Y30N525D,Coseano,Via Delle stagioni 169
Omobono,Olimpio,OLIOMB43G36R181Z,Tramonti di sopra,Via Pradiel 4
Iorio,Creati,CRTIOI09F36Y410M,Aviano,Viale Per costa 31
Gianno,Caldoro,CAAGIN51A32K788U,Porcia,Via Matteotti g. 10
Crispino,Cannabona,CANCRR55I11E291Z,Muggia,Localita  Fontanella 7
Impero,Arcuti,ARRIMO55Z12B577V,Muggia,Via Colarich 64
Gioele,Piano,PIOGIE83X13U970H,Tricesimo,Via San giovanni 24
Polinice,Blanco,BLLPOI57V31X169O,Fontanafredda,Via Dei mille 10
Rufo,De lemmi,DELRUF70C35X143J,Sesto al reghena,Via G.marconi 19
Amalio,Pinnellini,PIEAMA45C33Q564J,Muggia,Via Dei calderai 15
Ofemio,Piccoli,PICOFM39E24Q884Q,Carlino,Via Pradulins 19
Giovannangelo,Glahs,GLHGIG15C06X876Y,Cividale del friuli,Via Sant'apollonia 31
Fruttuoso,Capalbo,CALFRO40M17D765N,Pasian di prato,Via Circolo ippico 24
Oldrado,Panessa,PANOLO80O24O001A,Palmanova,Via Degli ontani 20
Ervino,Capozza,CAAERO88Y34C173L,Duino-aurisina,Frazione Sistiana 10
Cesirio,Cuscuna',CUCCER70R10F225N,Pordenone,Via Montello 12
Amorino,Dan,DAAAMO13C21M332B,San daniele del friuli,Via Urbanis g. 8
Rames,Tommasi,TOIRAE99H09P276U,Tarcento,Via Plan di paluz 8
Ornello,Salonna,SAAORN76N16W479V,Buja,Via Cevedã‚l 5
Danio,Mirza,MIRDAI85B17M726Y,Castelnovo del friuli,Localita  Martiners 28
Santin,Zanchi,ZANSAN20Z18N686Z,Tarcento,Via A.angeli 106
Mito,Villani lubelli,VIUMIT99F27E947G,Aviano,Via Berengario i 6
Esuperio,Chandel,CHEESE05E11A628P,Remanzacco,Strada Statale 54 del friuli 60
Clemens,Francisco,FRRCLS19G35P294K,Pasian di prato,Via Torino 10
Ivaldino,De masi,DEEIVD05L31S789D,Erto e casso,Via Val zemola 40
Benno,Cacucci,CACBEN69A02S941B,Campoformido,Via Cormor 163
Dalio,Zinnari,ZIRDAO27P05U994P,Meduno,Piazza Delle vittime 16
Avelio,Guimaraes de freitas,GUEAVO30X24F607I,Latisana,Via Del molo 55
Finaldo,Falcicchia,FAAFIL90V16M417F,Porcia,Via Marconi g. 25
Ivo,Aziza,AZZIVV90B32G304K,Travesio,Via Fornace 82
Idalco,Belcastro,BEOIDD12L24G987Y,Porcia,Via Serraglio 12
Milvano,Matranga,MAAMIA25M20Q830Q,Tarcento,Via Udine 9
Conforto,De castro,DE COR67D38C070C,Tramonti di sotto,Via Campone centro 20
Piero,Lagioia,LAOPIE67X19F452Q,Buja,Via Villaggio brescia 4
Sabatino,Carla',CAASAB84J09I150M,Cividale del friuli,Via Antonio mattioni 12
Ofelio,Fazio,FAAOFE52C29K738N,Aquileia,Via Giulia augusta 81
Chino,Scarati,SCACHI62J06T599P,Latisana,Via Lignano sabbiadoro 0
Elgo,Giannotta,GITELL26Y36K721B,Carlino,Via Marano 40
Giannico,Stoppa,STTGII19W37J097L,Remanzacco,Via Blaceo bernardino 3
Orenzio,Assiro,ASSORE64Y04B090X,Corno di rosazzo,Via 1 maggio 2
Jorio,Misciali,MIIJOO84J08T012S,Tavagnacco,Via Iv novembre 13
Merigo,La mazza,LAAMEE53L32Y588W,Pasiano di pordenone,Via Delle querce 31
Mamerto,Bene,BEEMAT43H13T219J,Reana del rojale,Via Celio nanino 129
Marsilio,Capirola,CAPMAI19D25B659T,Majano,Frazione Susans 154
Bernardo,Bucur,BURBEN58A36A204E,Palazzolo dello stella,Piazza Libertã€ 1
Edo,Siviero,SIIEDD12J24S418C,Medea,Via Fornace 18
Federico,Bellino,BEOFEC95S39O739Q,Fontanafredda,Via Pastrengo 40
Girardengo,Laraia,LAAGID93W07J463R,Rivignano,Via Umberto i 58
Adorando,Pandolfini,PAAADR86C35R190P,Buja,Via Caspigello 47
Felicio,Giurgola,GIUFEI71P36T603M,Muggia,Localita  Belpoggio 13
Novelio,Benigno,BENNOE63S30E874R,San quirino,Via Braida 7
Fanfulla,Ilao,ILOFAN26Q08I506T,Pordenone,Via Generale a. cantore 94
Silo,Turano,TUOSIL15W09O934Y,Gemona del friuli,Via Cassinis 11
Dolcino,Martella,MAEDOC33Y15O644U,Rivignano,Via Enrico toti 22
Onesio,Pacione,PAIONI64G35G162E,Brugnera,Via Riz 3
Aurino,Signore,SINAUN61E30L279P,Cervignano del friuli,Via Grado 13
Nemo,Pastore,PATNEM14W39R990U,Roveredo in piano,Via Del lavoro 19
Amatino,Trianni,TRAAMM10L14D121E,Porcia,Via Laghi 22
Laureato,Maiolino,MAILAT72D02T056O,Majano,Frazione S. tomaso 111
Remualdo,Lionetto,LITREE63L14S056M,Pordenone,Viale M. grigoletti 81
Lillo,Druga,DRALIL35C29T070A,Romans d'isonzo,Via G.f.del torre 26
Bassano,Stoica,STABAS85E07Y673F,Gradisca d'isonzo,Via Ciotti m. 56
Gianmaria,Petruzzi,PEIGIM77L18U624T,Clauzetto,Via Celante 9
Ofemio,D'alconzo,D LOFF10K12D738P,Frisanco,Via Fisar 17
Oldano,Vernaglione,VEEOLD20I36S044A,Morsano al tagliamento,Via Roma 92
Scolastico,Hossen,HOSSCC58W24O122J,Pordenone,Via Vallenoncello 28
Nellusco,Andriollo,ANNNEE96B11P580K,Pordenone,Viale Cossetti 11
Lorenzano,Zagaria,ZAALOR23W13C352E,San giorgio di nogaro,Via Venezia 81
Rosarino,Piceci,PICROA67W31F605H,Pasiano di pordenone,"Via Strada del mobile ""a"" 6"
Giannetto,Tanzarella,TAEGIA55U02Q087B,San giovanni al natisone,Via Palmarina 26
Gianluca,Frisullo,FRIGII05I15K507Y,Bicinicco,Via Roma 36
Lattanzio,Celestini,CEILAA71A15T080A,Aviano,Via De zan 1
Confucio,Manuppiello,MAACOC57W14H661G,Remanzacco,Vicolo Bertoni 1
Achille,Manta,MAAACE85H13G933E,Spilimbergo,Via San giovanni 4
Odoacre,Caldarazzo,CADODA93C07P873K,Cividale del friuli,Via Fornalis 214
Loddo,Gozie,GOELOO44F18Z365Y,Aviano,Via Pordenone 16
Ivanio,Di candia,DIDIVI92Y17B821P,San giorgio di nogaro,Via Alta 7
Emilio,Mangeli,MAIEML32G34P372O,Buja,Via Campo garzolino 10
Signorello,Fuccio,FUUSIL54S30E332Y,Pozzuolo del friuli,Via Divisione julia 20
Balduino,Caputo,CAPBAU76A32T837V,Casarsa della delizia,Via Miris'cis 3
Altiero,Rea,REEALT17F33D690T,Pordenone,Via Pont de le cassie 15
Dinetto,Ciccardi,CIIDIT64L27W027N,Spilimbergo,Via Delle rose 15
Iriano,Tondo,TODIRA60W15S167B,Tricesimo,Via Quattro febbraio 19
Elvino,Bassignana,BAAELV42M35A305S,Remanzacco,Via Stretta del molino 26
Oronzio,Cartigiano,CARORI36G28C912Q,Ragogna,Via Osoppo 36
Silvestre,Prathees,PRRSIL63S03A715P,Martignacco,Via Dante alighieri 27
Elverino,Ramires,RARELE73B00N375G,Tramonti di sopra,Villaggio Sei maggio 18
Osiride,Deolo,DEEOSS24O02B570Q,Pavia di udine,Via Crimea 67
Odillo,Perchia,PEHODO42F18C445W,Azzano decimo,Via Boscat 28
Eupremio,Senerchia,SEEEUM00Z29N204C,Roveredo in piano,Via Brentella 28
Pietrino,Bovino,BOOPIO00I17G388T,Majano,Via Julia 63
Rediano,Contegiacomo,COTRED13H10A216N,Maniago,Vicolo Degli andreani 19
Flavio,Alberone,ALNFLO31D14E491C,Muggia,Via Dei meccanici 12
Anastasio,Corvino,CORANA90Y00G355C,Farra d'isonzo,Via Giuseppe verdi 12
Arterio,Todisco,TODARO23J12Z039U,San dorligo della valle - dolina,Frazione Mattonaia 331
Balduccio,Pizzino,PIZBAU97B26R007M,Romans d'isonzo,Via Gorizia 17
Fiorantonio,Krzysztofik,KRFFIO64F06Q629O,Aviano,Via Stradate 12
Canciano,Pawariya,PAACAC12D08A963Y,Gradisca d'isonzo,Viale Kennedy j. f. 7
Silvo,Mazzurco,MAASIL14E36M285L,Remanzacco,Vicolo Della cooperativa 10
Fiorantonio,Bertani,BERFIN32K38Q839Z,Pasian di prato,Via Ippolito nievo 29
Ezechielle,Sri brahmana mudiyanselage,SRREZL90K10W753X,Porcia,Via Colombera 1
Delmiro,Sene,SEEDEE56E07B612N,Moimacco,Via Malina 65
Fiorinto,Ghidotti,GHDFIO15G38G203H,Tavagnacco,Via Della roggia 39
Emanuello,Bernard,BEAEMU43W12O437J,Trivignano udinese,Piazza Giulia 2
Arzelio,Mazzone,MAZARI91F24M988J,Muggia,Via Mameli 4
Nicasio,Laforgia,LAANII17H32W668P,Lignano sabbiadoro,Via Millefiori 23
Claudiano,Capozza,CAZCLO74F38N881L,San daniele del friuli,Via Fontanini giusto 14
Sigisfredo,Chandel,CHDSIO56N34Z554L,Gemona del friuli,Via Ippolito nievo 52
Nascimbene,Gastaldo,GAANAA88G25S470N,Tavagnacco,Via Monte canin 9
Idillio,Quercia,QUIIDL84U10L848Z,Sesto al reghena,Via Marignana centro 28
Diodoro,Rapana',RAADID05Z33D432T,Roveredo in piano,Via Cavour 14
Orieldo,Rana,RAAORL46M27J798I,Cividale del friuli,Via Trento 32
Ridolfo,Giannetto,GIIRII93C00U802Z,Muzzana del turgnano,Via Pocenia 6
Alesio,Uka,UKKALI42Q36L881Z,Brugnera,Via Casut di tamai 18
Prometeo,Positano,POSPRE93I38U985P,Pordenone,Via Fratelli bandiera 17
Erardo,Palese,PAAERR45B24Q002U,Gemona del friuli,Via Val di fiemme 33
Giobattista,Curasi,CUAGIB33J01W664M,Campoformido,Via San canciano 3
Enerino,Kabila,KALENR57C12C506Z,Gonars,Via Monte grappa 3
Amanzio,Panico,PANAMI41C21X781V,Tramonti di sotto,Localita  Brandolin 8
Millo,Pizzi,PIIMIL48U35B129H,Martignacco,Via Puccini 13
Geminello,Ruello,RUOGEE30Z05R917X,Roveredo in piano,Via Xx settembre 225
Semplicio,Iordache,IOASEP46V26B307M,Arzene,Via Chiesa 9
Filandro,Carbone,CAEFIA17K02S295L,Cividale del friuli,Viale Trieste 10
Giuda,Padovani,PAOGID57F11U909P,Tramonti di sopra,Borgata Clez 1
Almo,Di rosa,DIAALO74H09Z430R,Pordenone,Via Chioggia 6
Gernando,Migliore,MIIGEN42I18M807F,Chions,Via Giovanni xxiii 1
Nando,Jelassi,JEINAD26N10Z777A,Majano,Frazione Susans 195
Geri,Kumarakulasingam,KUIGER92T13Q674H,Tricesimo,Via Redipuglia 17
Deodato,Gubello,GUEDED86R25H209K,Aviano,Via Gian francesco del zotto 8
Crispoldo,Lucia,LUACRL88N01U646S,Casarsa della delizia,Viale Venezia 10
Ponzio,Vincenti,VINPOO93X13F668A,Gradisca d'isonzo,Via Udine 24
Ornaldo,Luprano,LUAORO97D28C897G,Pavia di udine,Via Ippolito nievo 17
Galiano,Okarmus,OKKGAI09J11P335C,Sgonico,Frazione Devincina/devinå ãˆina 38
Bastianino,Candelieri,CAIBAN88C14Y607L,San quirino,Via San foca 13
Carminuccio,Penza,PENCAU03M00K575L,Pasian di prato,Via Cotonificio 80
Argento,Zoccatelli,ZOCARO43B12O437O,Cervignano del friuli,Via 24 maggio 30
Nilio,Vaglio,VAANII89W34V776U,Latisana,Via Forte 0
Giangiorgio,Iasella,IALGIN66Z02H910P,Buja,Via Tonzolano 95
Azzelino,Viterbo,VIRAZO78Q35F980V,Pradamano,Via Arturo toscanini 26
Carino,Senatore,SEECAA11C20G225P,Sequals,Piazza I maggio 25
Caterino,Manelli,MAICAO29P04V450F,Buja,Via Liberazione 3
Finau,Dota,DOOFIU62U32C189O,Martignacco,Via S.carlo 44
Paterniano,Macella,MAEPAO65J23A496U,Gemona del friuli,Via Montenars 5
Evaristo,Rummo,RUOEVS45L15T439C,Azzano decimo,Via Fratte di sopra 27
Quintillo,Citta,CITQUO94J32V910M,Chions,Via Dante 21
Riziero,Schito,SCORII85M10V710M,Maniago,Via Polcenigo 76
Ermenegildo,Maddalena,MAAERG73L14H350J,Polcenigo,Vicolo Fossal 2
Corrado,Carcagni',CA COO50Q28N617J,Lignano sabbiadoro,Viale Europa 3
Gerasimo,Cola,COAGEO61U25U064I,Cividale del friuli,Via Fornalis 295
Orfino,Corona,CONORI86M02E457L,Budoia,Via Lachin 56
Gianluca,Caroppo,CAPGII30F22K479K,Corno di rosazzo,Via Judrio 27
Roe,Bouadra,BOUROE01X24V255B,Muggia,Salita Muggia vecchia 44
Regildo,Bucciero,BUOREL03O26F939G,Maniago,Via Dignano 3
Ruffo,Ibarguen,IBERUO08D36V215N,Maniago,Via Giuseppe garibaldi 12
Probo,Valerini,VAEPRO55F32L286H,Cordenons,Via Monte canin 9
Oleno,Dello preite,DEOOLE62A36I812K,Lignano sabbiadoro,Calle Prassitele 12
Muziano,Bibi,BIBMUU61I08Z425T,San giovanni al natisone,Via Dell' asilo 97
Rosalino,De nisco,DEIRON98A08G264V,Gradisca d'isonzo,Via Caprin giuseppe 12
Oliero,Prasath,PRHOLL79N17Q342V,Pozzuolo del friuli,Via Nicolo paganini 0
Plavo,Pushparatnam,PUHPLO78R08Z702T,Polcenigo,Via San antonio 24
Altavillo,Hekuri,HEEALL67S23B932S,Ragogna,Via S.remigio 4
Gisulfo,Pano,PAAGII61I39W973Y,San quirino,Via Nannavecchia 60
Quintillo,Iovine,IOEQUL71B39F807N,Pordenone,Corso Garibaldi 18
Eritreo,Convertino,COEERO64H36W430T,Santa maria la longa,Via Zompicco 44
Ormisdo,De nuccio,DEEORM98H11V991G,Cividale del friuli,Via Antonio mattioni 7
Egildo,Pascale,PASEGD00F34W842O,Remanzacco,Via Ellero giuseppe 65
Morino,Bray,BRAMOO13F31K553E,Remanzacco,Via Deganutti 42
Fiorente,Perez pacauncis,PECFIN92H07S751L,Monrupino,Frazione Repen 104
Salvatorico,Benesch,BESSAT20T29R447D,Ragogna,Via Gen. c.a.dalla chiesa 2
Sandrino,Martignano,MANSAI26R17D110T,Budoia,Via Tarabin 26
Cenzino,Latorre,LARCEN17X22D060A,Marano lagunare,Via Cecuta elodia 14
Gallio,Nicolini,NILGAI81E11K620J,Maniago,Via Ciro menotti 3
Navarino,Sinopoli,SIPNAO23X25X523C,Pasian di prato,Via Mentana 5
Gradisco,Carecci,CAEGRC45Y24N329O,Montereale valcellina,Viale Viale stazione 13
Ariello,Anwar,ANAARO13B23F523L,Pagnacco,Via Fontanabona 34
Emmo,Bircaj,BIREMM89R23D450S,San martino al tagliamento,Via Iv novembre 16
Liano,Cognatti amele,COTLIO82T04R617Y,Tavagnacco,Via C. b. cavour 29
Mirko,Arlotta,ARLMII37M35B508E,Teor,Via Vittorio veneto 62
Jacopo,Falbo,FALJAC38W18B371K,Pasian di prato,Via Angoria 88
Fesio,Pulli,PUIFEI09C02E815J,Fontanafredda,Via S. egidio 21
Rado,Statilani,STNRAD99O17V893E,Duino-aurisina,Frazione Duino 72
Polonio,Lippolis,LIIPOO18G14T353V,Fiumicello,Via Pellis u. 5
Artico,Margarito,MAOART99T36E475C,Cividale del friuli,Via Borgo causero 6
Leuterio,Porello,POELER79C03D716A,Porcia,Via Vallada 38
Elia,Tolentino,TONELL86O33Y221Z,Pradamano,Via Giosue' carducci 51
Carminio,Ponzio,POZCAI06J10B026R,Cividale del friuli,Via Della chiesa 58
Fabriele,De campi,DEPFAL79G39V197D,Montereale valcellina,Via Cavallotti 10
Avendrace,Al haddy,ALDAVV08K05P905K,Bagnaria arsa,Via Roma 28
Robis,Napolitano,NANROI20W10W572Y,Cordenons,Via Pasch 68
Abele,Palmarese,PAAABL52U16K227S,Muggia,Riva De amicis 4
Idalmino,Ferrecchia,FEEIDA48U34X606A,Pordenone,Via Revedole 87
Siviliano,Mamaqi,MAASII29U14X695I,Muggia,Salita Muggia vecchia 29
Orieldo,Arlotta,ARLORO51P00G064R,Trivignano udinese,Via Julia 1
Ariele,Chilla,CHHARE80F30H208U,Maniago,Via Claut 14
Miraldo,Mourad,MODMIL02S08K863Q,Muggia,Localita  Fontanella 8
Gildo,Nuzzo,NUOGIO58P07A043N,Cividale del friuli,Piazzale Dell'ospedale 2
Orsino,Castriotta,CASORR35B00Y650D,Frisanco,Localita  Piel 10
Nestore,Leonetti,LETNEE20Y01M388P,Buttrio,Via S.giacomo 21
Pandolfo,Chiriatti,CHIPAA68X29T231P,Gemona del friuli,Via Bersaglio 118
Guizzardo,Passaretti,PATGUI12P36Q844B,Tarcento,Via Degli usignoli 11
Evrardo,Cervo,CEOEVD25M15A347P,Buja,Via Spilungje 14
Ennio,Scarpino,SCIENO54W36S449R,Campoformido,Viale Delle rose 100
Famiano,My,MYYFAO55F10P501Y,Farra d'isonzo,Via Montisel 4
Ottilio,Matichecchia,MACOTL91P35N311U,Aviano,Via Marconi 14
Oro,Monsellato,MOLORR94V15U209C,Rivignano,Via Ermes di colloredo 2
Rigo,Florea,FLORIO49O03F015G,Latisana,Via Stella 0
Maido,Ahmetaj,AHEMAA81J16N212B,Pagnacco,Via Zampis 12
Finisio,Aurelio,AUOFII37U21W385T,Sesto al reghena,Calle San gallo 15
Marrico,Antoniotti,ANTMAR15M03H339L,Remanzacco,Case Martini 1
Effrem,Maggi,MAIEFM46B37D223S,Latisana,Via Canova 0
Oriello,Scarsella,SCAORL49W11M048F,Pordenone,Via Gere 25
Giannico,Arigliani,ARGGII81L18M497Z,Montereale valcellina,Via Cellina 3
Orienzo,Augieri,AUIORE83X24Z753U,Tarcento,Via A.angeli 122
Celesto,Menghini,MENCEO18N20O531P,Azzano decimo,Via Chiesa 37
Ferminio,Oppizzi,OPIFEI30O15R050H,Chions,Via Julia 23
Emiddio,Sileo,SIOEMI07L03I915H,Cassacco,Via Leopardi g. 7
Riano,Campiglia,CAARII69F16O840X,Pasian di prato,Via Udine 45
Orianno,Lecci,LECORN03H25L854W,Castelnovo del friuli,Localita  Oltrerugo 16
Cleonte,Nicazza,NIACLN05E02F841H,Pordenone,Via Brusafiera 6
Luisio,Roccasecca,ROCLUI72B18V830E,Gemona del friuli,Via San biagio 46
Adelindo,Di pinto,DIOADL82E07L627Q,Cividale del friuli,Strada Vecchia di togliano 1
Fiumano,Buonsanti,BUOFIM74J08Q485G,Precenicco,Via Pescarola 8
Efro,Tortorella,TOEEFR64Q30Q777O,Remanzacco,Via Monte matajur 20
Erido,Muhammad,MUHERR78R02F304A,Latisana,Via Giardini 35
Cenerino,Baffa,BAFCEO61G11V686Q,Cervignano del friuli,Via Fredda 1
Fornaretto,Prato,PRAFOE75B06R848V,Cordenons,Via S. d'acquisto 22
Oro,Savoia,SAAORR79Z26N859A,Travesio,Piazza Xx settembre 8
Artiero,Quartini,QUIARR03Y23Y876X,Cividale del friuli,Via Valli del natisone 136
Rollando,He,HEEROO88J27T873K,Rivignano,Via Dante 62
Gilberto,Immorlano,IMLGIE12H16Y301V,Ragogna,Via 2 giugno 24
Onezio,Lepore,LEEONO44I18Y697L,Ragogna,Via Ippolito nievo 18
Diletto,Erpete,EREDIO93Z13R728L,Cividale del friuli,Via Alcide de gasperi 33
Ottobrino,Morello,MOOOTN62Z10M474K,Remanzacco,Vicolo Dri giacomo 8
Roggero,Latorre,LARROO54W27E831Z,Lignano sabbiadoro,Calle Byron 47
Osanna,Donadei,DOIOSA09H28W412J,Majano,Via Udine 58
Fioravanti,Ducka,DUCFIA46Y13B294E,Martignacco,Via S.carlo 36
Orvinio,Violante,VIEORO09D33L898G,Casarsa della delizia,Via Delle fonde 6
Ezelindo,Mezzapesa,MEZEZI60F10G284P,Ragogna,Via Roma 0
Biondino,Fumarola,FUMBIO43U12B322R,Tarcento,Via Bernadia 52
Nedio,Sellathurai,SEINEO97O33S013S,Pordenone,Via Brigata toscana 6
Irno,Frati,FRIIRR99T39J909N,Carlino,Via Tese 8
Mimino,Sbarra,SBBMII15Q09C642I,Ragogna,Via Roma 60
Foliano,Mahmood,MAOFOL15Q26L914T,Aviano,Viale San giorgio 23
Altemio,Giocondo,GIDALE00G14K634U,Bagnaria arsa,Localita  Case sparse 3
Fioramonte,De benedittis,DEEFIR01M01T254L,Frisanco,Via Dei gei 1
Giobatta,Cicirillo,CIRGII00M06E206H,San giorgio della richinvelda,Piazza San michele 2
Oris,Colletti,COEORI46S23J842O,Cordenons,Via Montello 56
Argio,De robertis,DESARR01C04H324M,Martignacco,Via Pagnutti 2
Armerino,Colavolpe,COOARE95F28H744K,Cordovado,Via Antonio freschi 11
Adilio,Colavolpe,COEADL04O22J136M,Fanna,Via Amati 7
Libico,Bizzotto,BIOLII82Q36X752K,Majano,Frazione Casasola 85
Blando,Amar,AMRBLD76T11X912D,Bicinicco,Via Nazionale 51
Cono,Tota,TOTCON79E29U567K,Casarsa della delizia,Via G. puccini 1
Oferto,Labriola,LAROFT40Z12X150W,Pordenone,Piazza Valle 8
Rezio,Vitelli,VILREI20N29V472S,San giorgio di nogaro,Viale Iii armata 49
Elfio,Gutierrez,GUZELF53O30A761I,Cervignano del friuli,Via Venti settembre 3
Rufo,Sajjad,SADRUU75A34Q628M,Azzano decimo,Via Fiumicino - fraz. tiezzo 1
Onildo,Nilesi,NIEONN00X12J170L,Cordenons,Via Monte cavallo 27
Fiorentino,Onorati,ONTFIO05X27A985H,Pasian di prato,Via Leopardi 4
Morino,Guidotti vizzarro,GUVMON00N39B280E,Buja,Via Tonzolano 78
Ido,Aliffi,ALFIDD46V34M946M,Buja,Via Tonzolano 79
Nivio,Brya,BRRNIV48J24G284S,Cervignano del friuli,Via Milano 1
Serviglio,Ciraci,CIASER59I12B237B,Aviano,Via Delle cave 12
Gualfredo,Chiala',CHHGUF21F02N056R,Rivignano,Via Luigi cadorna 19
Respicio,Famularo,FAAREO31I36T290E,Farra d'isonzo,Via Gorizia 35
Lubiano,De falco,DEOLUN28R31Q216W,Martignacco,Vicolo Urbanis 2
Pietruccio,Fiorentino,FIOPIU15I08R503Q,Moruzzo,Via Borgo bassi 9
Roderico,Panico,PAIROE29L05E707K,Chions,Via S. giorgio 27
Palmero,Di donato,DITPAL28E08G563B,Latisana,Via Codroipo 0
Orviero,Barbarisi,BAAORR63U29F142L,Fontanafredda,Via P. antonini 43
Defendi,Logeswaran,LOADEI98C35T867M,Pasiano di pordenone,Via Centro di rivarotta 27
Bandinello,Ciusco,CIUBAN40O00C348J,Pordenone,Via Dell'autiere 19
Beno,Refolo,RELBEE12N02F399U,Remanzacco,Case Del casone 7
Giliante,Bisanti,BIIGIE88P02S488H,Rivignano,Via Giacomo leopardi 15
Rami,Pecere,PEERAA43T34Y798I,Cividale del friuli,Strada Braida grande 8
Caterino,Donato,DOTCAR42D00Z809X,Porcia,Via Campagna 11
Sofocle,Scuzzarella,SCUSOO17C31Z364L,Gradisca d'isonzo,Via Dal ben e. 8
Cadorna,Notaro,NORCAD52L17Z965L,Chions,Via Cantore 18
Lazzero,Bosco,BOOLAZ43Y34D876Y,Pasiano di pordenone,Via Villaraccolta 20
Fidelmino,Dadap,DAPFID46I20D101H,Cordovado,Via Btg. gemona 60
Ferrino,Sharma,SHAFEO29M20A336X,Tavagnacco,Via Patrioti 15
Orestino,De durante,DEDORI81J00O518T,Pordenone,Via Vallona 15
Sesto,Pindinelli,PIDSET72I05Z167S,Cordenons,Via Aquileia 17
Rineo,Gorgoni,GOORII64Y33U110V,Gemona del friuli,Via Bordano 30
Giorlando,Frisenna,FRNGIR81G30C055Z,Bagnaria arsa,Via Savorgnan 3
Bonarrota,Carrapa,CAABOT95C28P055E,Latisana,Via Daniele manin 87
Aprilio,Maddalo,MALAPR95E09T356O,Pozzuolo del friuli,Piazza Julia 5
Arcangelo,Petrucelli,PERARR39L05Y615C,Buja,Via Battiferro di tomba 10
Secondino,Crescenzio,CRSSEC15X31A277L,Morsano al tagliamento,Piazza Iv novembre 8
Fermano,Costanzo,COZFEM59D22C957K,Latisana,Via Nicolã’ tommaseo 41
Ferrino,Nardelli,NALFER60L24O572Q,Fontanafredda,Via Cavour 60
Resvindo,Pirri,PIIRES76Q22H999S,Spilimbergo,Corso Roma 23
Risiero,Cicinelli,CICRII19P11O144K,Martignacco,Via B.stringher 102
Ornato,Patino,PAOORA89W35S679X,Cassacco,Via Zorutti p. 46
Bino,Bosano joly,BO BIO75E33G798O,Medea,Via Roma 2
Coletto,Occhionero,OCRCOT62V27Z839M,Santa maria la longa,Via G. ellero 15
Ermindo,Rocco,ROCERN62O04M579I,Tavagnacco,Via G. pascoli 9
Alealdo,Rotella,ROLALE84Y39U499K,Campoformido,Via C.percoto 125
Cenzo,Arditi,ARICEO14Z30B025D,Meduno,Via Mincin 25
Rossano,Venticinque,VENROO19G21M936T,Cividale del friuli,Via Rubignacco 68
Arsilio,Della valle,DELARO49J22A571Z,Ragogna,Via Vittorio veneto 11
Fiero,Ciminiello,CILFIE74G08N684I,Erto e casso,Via Roma 96
Olerio,Nave,NAEOLI75R04H334G,Pordenone,Via Bar delle foie 4
Idiano,Agagiu',AG IDN74K14J296V,Buja,Via Urbignacco 39
Oriero,Solito,SOIORO67V26Z587I,Ragogna,Via Ca' simonitto 7
Oranzo,Ingrosso,INSORZ53D25O930S,Teor,Via Don eugenio zanini 38
Azolino,Daff,DAFAZO53E02H219H,Majano,Frazione Susans 85
Giuffrido,Maffione,MAOGIO24T36G427Y,Savogna d'isonzo,Via I maggio 100
Pompeo,Lotito,LOOPOM29S32X190W,Palmanova,Via Pisani 4
Armistizio,Cazzella,CAZARS36R22Q906M,Latisana,Via Monte san michele 0
Niccolò,Parato,PAONII50O03Z992E,Cordenons,Via V. bellini 20
Rovereto,Giaracuni,GIAROO56A09U424U,Gemona del friuli,Via Gian giuseppe liruti 12
Reanto,Picciolo,PIORET10U30X723Y,Pradamano,Via Buttrio 18
